Zip Code,Lat,Long
93703,36.768774,-119.762633
93704,36.799648,-119.801247
93705,36.78724,-119.827813
93706,36.654614,-119.903674
93710,36.822715,-119.761826
93711,36.833002,-119.82947
93720,36.878709,-119.7645
93721,36.732694,-119.783786
93722,36.78979,-119.929894
93723,36.7863,-119.9532
93725,36.623632,-119.741322
93726,36.793601,-119.761131
93727,36.751489,-119.68072
93728,36.757345,-119.818274
93730,36.8878,-119.7589
93737,36.7477,-119.7724
93741,36.7464,-119.6397
93901,36.64152,-121.622188
93905,36.667794,-121.601306
93906,36.722898,-121.633648
93907,36.77462,-121.664714
93908,36.624338,-121.615669
93920,36.092975,-121.549826
93923,36.460611,-121.852507
93924,36.414611,-121.6386
93925,36.596271,-121.442274
93926,36.52588,-121.396719
93927,36.248708,-121.386617
93930,36.220761,-120.980777
93932,35.989792,-121.055933
93933,36.689582,-121.758398
93940,36.362741,-121.869685
93943,36.597,-121.8741
93944,36.6062,-121.9089
93950,36.618337,-121.926417
93953,36.587497,-121.944815
93955,36.625114,-121.823565
93960,36.414216,-121.360597
93962,36.624641,-121.647195
94002,37.509366,-122.306132
94005,37.684694,-122.40712
94010,37.57028,-122.365778
94014,37.691561,-122.445202
94015,37.680844,-122.48131
94019,37.45567,-122.407992
94020,37.285677,-122.224165
94021,37.266388,-122.26308
94022,37.349546,-122.134356
94024,37.352911,-122.093002
94025,37.449551,-122.183762
94027,37.454924,-122.203168
94028,37.369709,-122.215844
94030,37.601248,-122.403099
94035,37.3861,-122.0839
94037,37.540582,-122.509594
94038,37.515556,-122.502311
94040,37.380662,-122.086022
94041,37.388349,-122.075299
94043,37.419725,-122.062947
94044,37.573633,-122.455167
94060,37.22565,-122.297533
94061,37.461251,-122.235414
94062,37.410567,-122.297152
94063,37.499411,-122.196318
94065,37.527497,-122.230941
94066,37.624436,-122.430661
94070,37.497915,-122.267361
94074,37.331762,-122.341444
94080,37.654436,-122.426468
94085,37.3886,-122.0177
94086,37.378541,-122.020456
94087,37.3511,-122.037311
94089,37.421633,-122.009613
94102,37.7795,-122.419233
94103,37.773147,-122.411287
94104,37.791222,-122.402241
94105,37.789168,-122.395009
94107,37.768881,-122.395521
94108,37.791998,-122.408653
94109,37.794487,-122.42227
94110,37.750021,-122.415201
94111,37.801776,-122.402293
94112,37.720498,-122.443119
94114,37.758085,-122.434801
94115,37.786031,-122.437301
94116,37.74441,-122.486764
94117,37.770533,-122.445121
94118,37.781304,-122.461522
94121,37.776718,-122.495781
94122,37.760412,-122.484966
94123,37.800254,-122.436975
94124,37.731505,-122.384532
94127,37.736535,-122.45732
94128,37.6216,-122.3929
94129,37.797526,-122.464531
94130,37.820894,-122.369725
94131,37.746699,-122.442833
94132,37.722302,-122.491129
94133,37.802071,-122.411004
94134,37.721052,-122.413573
94158,37.7694,-122.3867
94301,37.444314,-122.149996
94303,37.45809,-122.115398
94304,37.386978,-122.177746
94305,37.424342,-122.165641
94306,37.416159,-122.131337
94401,37.590421,-122.306467
94402,37.556634,-122.317723
94403,37.538309,-122.305109
94404,37.556094,-122.272437
94501,37.774633,-122.274434
94502,37.724817,-122.224363
94503,38.1668,-122.2553
94505,37.8989,-121.6054
94506,37.791481,-121.903253
94507,37.855717,-121.994813
94508,38.542448,-122.419923
